,event_id,weight_class,w/l,fighter1,fighter2,kd_fighter1,kd_fighter2,str_fighter1,str_fighter2,td_fighter1,td_fighter2,sub_fighter1,sub_fighter2,method,round,time,fight_id
0,EVE0663,Women's Flyweight,draw,Alexa Grasso,Valentina Shevchenko,1,0,84,80,1,4,1,1,S-DEC,5,5:00,F066301
1,EVE0663,Welterweight,win,Jack Della Maddalena,Kevin Holland,0,0,105,127,0,0,0,0,S-DEC,3,5:00,F066302
2,EVE0663,Bantamweight,win,Raul Rosas Jr.,Terrence Mitchell,1,0,18,6,0,0,0,0,KO/TKO_Punches,1,0:54,F066303
3,EVE0663,Lightweight,win,Daniel Zellhuber,Christos Giagos,0,0,36,38,0,0,1,0,SUB_Anaconda_Choke,2,3:26,F066304
4,EVE0663,Featherweight,win,Kyle Nelson,Fernando Padilla,0,0,82,72,0,0,0,0,U-DEC,3,5:00,F066305
5,EVE0663,Women's Strawweight,win,Loopy Godinez,Elise Reed,1,0,21,3,5,0,6,0,SUB_Rear_Naked_Choke,2,3:38,F066306
6,EVE0663,Middleweight,win,Roman Kopylov,Josh Fremd,1,0,49,38,0,0,0,0,KO/TKO_Punch,2,4:44,F066307
7,EVE0663,Flyweight,nc,Edgar Chairez,Daniel Lacerda,0,0,12,4,0,1,1,0,Overturned,1,3:47,F066308
8,EVE0663,Women's Flyweight,win,Tracy Cortez,Jasmine Jasudavicius,0,0,103,77,0,2,0,0,U-DEC,3,5:00,F066309
9,EVE0663,Lightweight,win,Charlie Campbell,Alex Reyes,1,0,43,14,0,0,0,0,KO/TKO_Punches,1,3:38,F066310
10,EVE0663,Women's Strawweight,win,Josefine Knutsson,Marnic Mann,0,0,81,8,3,0,0,0,U-DEC,3,5:00,F066311
11,EVE0662,Middleweight,win,Sean Strickland,Israel Adesanya,1,0,137,94,0,0,0,0,U-DEC,5,5:00,F066201
12,EVE0662,Heavyweight,win,Alexander Volkov,Tai Tuivasa,1,0,93,28,0,0,1,0,SUB_Ezekiel_Choke,2,4:37,F066202
13,EVE0662,Flyweight,win,Manel Kape,Felipe dos Santos,1,0,112,99,1,0,0,0,U-DEC,3,5:00,F066203
