,event_id,fight_id,weight_class,w/l,fighter1,fighter2,fighters1_id,fighters2_id,stance1,stance2,height1,height2,weight1,weight2,reach1,reach2,wins1,losses1,draws1,ncs1,day_wout_fights1,wins2,losses2,draws2,ncs2,day_wout_fights2,kd_mean1,str_mean1,td_mean1,sub_mean1,kd_mean2,str_mean2,td_mean2,sub_mean2,resposta
0,EVE0663,F066301,Women's Flyweight,draw,Alexa Grasso,Valentina Shevchenko,FIG1586,FIG0827,Orthodox,Southpaw,165.1,165.1,56.699,56.699,167.64,167.64,8.0,3.0,0.0,0.0,196.0,12.0,3.0,0.0,0.0,196.0,0.0,69.27272727272727,0.36363636363636365,0.5454545454545454,0.06666666666666667,57.46666666666667,3.0,0.4,3.0
1,EVE0663,F066302,Welterweight,win,Kevin Holland,Jack Della Maddalena,FIG0408,FIG1911,Orthodox,Switch,190.5,180.34,77.111,77.111,205.74,185.42,12.0,6.0,0.0,1.0,49.0,5.0,0.0,0.0,0.0,63.0,0.2631578947368421,42.63157894736842,0.631578947368421,0.42105263157894735,1.0,38.2,0.2,0.2,2.0
2,EVE0663,F066303,Bantamweight,win,Terrence Mitchell,Raul Rosas Jr.,FIG1830,FIG3312,Orthodox,Switch,177.8,175.26,61.235,61.235,187.96,170.18,0.0,1.0,0.0,0.0,70.0,1.0,1.0,0.0,0.0,161.0,0.0,3.0,1.0,0.0,0.0,2.5,2.5,1.5,2.0
3,EVE0663,F066304,Lightweight,win,Christos Giagos,Daniel Zellhuber,FIG0614,FIG2320,Orthodox,Switch,177.8,185.42,70.307,70.307,180.34,195.58,6.0,6.0,0.0,0.0,147.0,1.0,1.0,0.0,0.0,154.0,0.08333333333333333,24.833333333333332,1.8333333333333333,0.25,0.5,65.0,0.0,0.0,2.0
4,EVE0663,F066305,Featherweight,win,Kyle Nelson,Fernando Padilla,FIG1431,FIG1609,Switch,Orthodox,180.34,185.42,65.771,65.771,180.34,193.04,2.0,4.0,1.0,0.0,98.0,1.0,0.0,0.0,0.0,140.0,0.0,33.42857142857143,1.0,0.5714285714285714,1.0,20.0,0.0,0.0,1.0
5,EVE0663,F066306,Women's Strawweight,win,Loopy Godinez,Elise Reed,FIG2481,FIG2949,Orthodox,Orthodox,157.48000000000002,160.02,52.163,52.163,154.94,160.02,5.0,3.0,0.0,0.0,119.0,3.0,3.0,0.0,0.0,105.0,0.0,56.75,3.125,0.5,0.16666666666666666,33.666666666666664,0.5,0.0,1.0
6,EVE0663,F066307,Middleweight,win,Josh Fremd,Roman Kopylov,FIG2131,FIG2564,Orthodox,Southpaw,193.04,182.88,83.915,83.915,193.04,190.5,2.0,2.0,0.0,0.0,35.0,3.0,2.0,0.0,0.0,49.0,0.0,29.75,0.75,1.25,0.6,50.4,0.4,0.0,2.0
7,EVE0663,F066308,Flyweight,nc,Edgar Chairez,Daniel Lacerda,FIG4103,FIG1931,Orthodox,Switch,170.18,167.64,56.699,56.699,180.34,177.8,0.0,1.0,0.0,0.0,70.0,0.0,4.0,0.0,0.0,175.0,1.0,25.0,0.0,2.0,0.75,23.5,0.5,0.5,3.0
8,EVE0663,F066309,Women's Flyweight,win,Jasmine Jasudavicius,Tracy Cortez,FIG2835,FIG2772,Orthodox,Orthodox,170.18,165.1,56.699,56.699,172.72,165.1,3.0,1.0,0.0,0.0,98.0,4.0,0.0,0.0,0.0,497.0,0.0,43.0,1.75,0.0,0.0,50.25,2.5,0.5,2.0
9,EVE0663,F066310,Lightweight,win,Alex Reyes,Charlie Campbell,FIG2023,FIG3104,Orthodox,Orthodox,180.34,182.88,70.307,70.307,185.42,182.88,0.0,1.0,0.0,0.0,2191.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10,EVE0663,F066311,Women's Strawweight,win,Josefine Knutsson,Marnic Mann,FIG3530,FIG3461,Orthodox,Southpaw,160.02,152.4,52.163,52.163,152.4,162.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,EVE0662,F066201,Middleweight,win,Sean Strickland,Israel Adesanya,FIG0447,FIG0826,Orthodox,Switch,185.42,193.04,83.915,83.915,193.04,203.2,14.0,5.0,0.0,0.0,70.0,13.0,2.0,0.0,0.0,154.0,0.2631578947368421,83.0,0.9473684210526315,0.21052631578947367,0.8666666666666667,70.26666666666667,0.06666666666666667,0.2,1.0
12,EVE0662,F066202,Heavyweight,win,Tai Tuivasa,Alexander Volkov,FIG1336,FIG0128,Southpaw,Orthodox,187.96,200.66,119.748,113.398,190.5,203.2,8.0,5.0,0.0,0.0,280.0,10.0,4.0,0.0,0.0,182.0,0.6153846153846154,27.384615384615383,0.0,0.0,0.21428571428571427,65.92857142857143,0.5,0.0,2.0
