,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
0,Tom,Aaron,,,,,,70.307,5,3,0,8,FIG3286
1,Danny,Abbadi,The Assassin,Orthodox,,180.34,,70.307,4,6,0,10,FIG2942
2,Nariman,Abbasov,Bayraktar,Orthodox,,172.72,167.64000000000001,70.307,28,4,0,32,FIG0482
3,David,Abbott,Tank,Switch,,182.88,,120.202,10,15,0,25,FIG0923
4,Hamdy,Abdelwahab,The Hammer,Southpaw,,187.96,182.88,119.748,5,0,0,5,FIG3664
5,Shamil,Abdurakhimov,Abrek,Orthodox,,190.5,193.04,106.594,20,8,0,28,FIG0740
6,Hiroyuki,Abe,Abe Ani,Orthodox,,167.64000000000001,,65.771,8,15,3,26,FIG0889
7,Daichi,Abe,,Orthodox,,180.34,180.34,77.111,6,2,0,8,FIG3257
8,Papy,Abedi,Makambo,Southpaw,,180.34,,83.915,10,4,0,14,FIG2312
9,Ricardo,Abreu,Demente,Orthodox,,180.34,,83.915,5,1,0,6,FIG3602
10,Klidson,Abreu,White Bear,Orthodox,,182.88,187.96,92.986,15,4,0,19,FIG1631
11,Cyborg,Abreu,,,,,,,0,0,0,0,FIG4088
12,Daniel,Acacio,,Orthodox,,172.72,,81.647,30,18,0,48,FIG0114
13,John,Adajar,The Outlaw,Orthodox,,175.26,190.5,77.111,6,2,0,8,FIG3266
14,Scott,Adams,,Southpaw,,182.88,,102.058,8,1,0,9,FIG3146
15,Juan,Adams,The Kraken,Orthodox,,195.57999999999998,203.2,120.202,5,3,0,8,FIG3262
16,Anthony,Adams,Sugafoot,Orthodox,,185.42,193.04,83.915,8,2,0,10,FIG2994
17,Zarrukh,Adashev,The Lion,Southpaw,,165.1,165.1,56.699,4,4,0,8,FIG3280
18,Israel,Adesanya,The Last Stylebender,Switch,,193.04,203.2,83.915,24,3,0,27,FIG0826
19,Sam,Adkins,The Experience,Orthodox,,190.5,,102.058,7,20,2,29,FIG0642
20,Nick,Agallar,,Orthodox,,172.72,,70.307,24,6,0,30,FIG0583
21,Mariya,Agapova,Demonslayer,Southpaw,,167.64000000000001,172.72,56.699,10,4,0,14,FIG2396
22,Marcelo,Aguiar,,Orthodox,,177.8,,77.111,2,3,1,6,FIG3606
23,Fabio,Aguiar,,,,182.88,,83.915,17,1,0,18,FIG1771
24,Edwin,Aguilar,Tigre,,,177.8,,83.915,26,19,0,45,FIG0170
25,Jessica,Aguilar,Jag,Orthodox,,160.02,160.02,52.163,20,8,0,28,FIG0713
26,Kevin,Aguilar,Angel of Death,Orthodox,,170.18,185.42000000000002,70.307,17,5,0,22,FIG1221
27,Jesus,Aguilar,,Orthodox,,162.56,157.48,56.699,9,2,0,11,FIG2804
28,Christian,Aguilera,The Beast,Switch,,175.26,182.88,77.111,14,8,0,22,FIG1219
29,Nick,Aguirre,Slick,Southpaw,,175.26,187.96,61.235,7,1,0,8,FIG3285
30,Mike,Aina,Iron,Orthodox,,175.26,,70.307,14,6,1,21,FIG1398
31,Ashiek,Ajim,Peak Physique,Switch,,172.72,180.34,61.235,6,2,0,8,FIG3263
32,Hitomi,Akano,Girlfight Monster,Southpaw,,162.56,,61.235,18,10,0,28,FIG0732
33,Omari,Akhmedov,Wolverine,Orthodox,,182.88,185.42000000000002,83.915,21,6,1,28,FIG0731
34,Yoshihiro,Akiyama,,Orthodox,,177.8,190.5,77.111,14,6,0,20,FIG1419
35,Rostem,Akman,,Switch,,177.8,182.88,77.111,6,2,0,8,FIG3265
36,Razak,Al-Hassan,,Orthodox,,187.96,,92.986,13,5,0,18,FIG1748
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,Orthodox,,172.72,175.26,70.307,15,3,0,18,FIG1781
38,Mostapha,Al-Turk,,Orthodox,,187.96,195.58,111.13,6,6,0,12,FIG2660
39,Herdem,Alacabek,,Orthodox,,187.96,190.5,92.986,5,1,0,6,FIG3614
40,Javi,Alanis,,,,167.64000000000001,,61.235,0,4,0,4,FIG3828
41,,Alatengheili,The Mongolian Knight,Orthodox,,165.1,167.64000000000001,61.235,16,8,2,26,FIG0903
42,Amir,Albazi,The Prince,Orthodox,,165.1,172.72,56.699,17,1,0,18,FIG1770
43,Brett,Albee,,,,,,102.058,3,2,0,5,FIG3671
44,John,Albert,Prince,Orthodox,,172.72,172.72,61.235,6,5,0,11,FIG2797
45,Junior,Albini,Baby,Orthodox,,190.5,187.96,119.748,14,6,0,20,FIG1412
46,Wes,Albritton,,Orthodox,,177.8,,85.275,0,1,0,1,FIG3991
47,Aleksandra,Albu,Stitch,Orthodox,,157.48000000000002,160.02,52.163,3,2,0,5,FIG3667
48,Israel,Albuquerque,,Orthodox,,,,83.915,0,3,0,3,FIG3911
49,Juan,Alcain,,,,,,,1,2,0,3,FIG3895
50,Iuri,Alcantara,Marajo,Southpaw,,175.26,180.34,61.235,35,10,0,45,FIG0161
51,Ildemar,Alcantara,Marajo,Orthodox,,187.96,198.12,83.915,21,11,0,32,FIG0477
52,Alfonso,Alcarez,,,,160.02,,65.771,1,3,1,5,FIG3680
53,Gilbert,Aldana,El Peligro,Orthodox,,185.42,,113.398,6,2,0,8,FIG3273
