,First,Last,Nickname,total_fights,full_name_conference,fighters_id
4108,Daniel,Allen,,4,DanielAllen,FIG4110
4107,Carli,Judice,Crispy,3,CarliJudiceCrispy,FIG4109
4106,Stephanie,Luciano,Rondinha,6,StephanieLucianoRondinha,FIG4108
4105,Cortavious,Romious,Are You Not Entertained?,8,CortaviousRomiousAre You Not Entertained?,FIG4107
4104,Daniel,Allen,,4,DanielAllen,FIG4106
4103,Mohammad,Yahya,,15,MohammadYahya,FIG4105
4102,Raheam,Forest,Rambo,8,RaheamForestRambo,FIG4104
4101,Edgar,Chairez,Puro Chicali,15,EdgarChairezPuro Chicali,FIG4103
3494,Chris,Solomon,,0,ChrisSolomon,FIG4102
3711,Brett,Tillis,,0,BrettTillis,FIG4101
1774,Craig,Jones,,0,CraigJones,FIG4100
1331,Jordan,Goodwin,,0,JordanGoodwin,FIG4099
3728,Haven,Torres,,0,HavenTorres,FIG4098
2634,Fedor,Nikolov,,0,FedorNikolov,FIG4097
2222,Dan,Manasoiu,,0,DanManasoiu,FIG4096
1840,Doug,Kay,,0,DougKay,FIG4095
3062,Haisam,Rida,,0,HaisamRida,FIG4094
2833,Felipe,Pena,Preguica,0,FelipePenaPreguica,FIG4093
135,Fellipe,Andrew,,0,FellipeAndrew,FIG4092
2391,Nick,Meregali,,0,NickMeregali,FIG4091
1097,Emily,Fernandez,,0,EmilyFernandez,FIG4090
751,Helena,Crevar,,0,HelenaCrevar,FIG4089
11,Cyborg,Abreu,,0,CyborgAbreu,FIG4088
1217,Eric,Galvan,,0,EricGalvan,FIG4087
161,Gabriel,Arges,,0,GabrielArges,FIG4086
3470,Dillon,Smith,,0,DillonSmith,FIG4085
2426,Mike,Minniger,,0,MikeMinniger,FIG4084
1240,Rulon,Gardner,,1,RulonGardner,FIG4083
2988,Thomas,Ramirez,,1,ThomasRamirez,FIG4082
1759,Nathan,Jones,,1,NathanJones,FIG4081
3811,Lloyd,Van Dams,,1,LloydVan Dams,FIG4080
1283,Demetrius,Gioulacos,,1,DemetriusGioulacos,FIG4079
1279,Krishaun,Gilmore,,1,KrishaunGilmore,FIG4078
3810,Ron,van Clief,The Black Dragon,1,Ronvan CliefThe Black Dragon,FIG4077
3112,Pedro,Rocha,,1,PedroRocha,FIG4076
3001,Raou,Raou,,1,RaouRaou,FIG4075
534,John,Campetella,,1,JohnCampetella,FIG4074
546,Jose,Canseco,,1,JoseCanseco,FIG4073
3750,Aaron,Trujillo,,1,AaronTrujillo,FIG4072
540,Asbel,Cancio,,1,AsbelCancio,FIG4071
3763,Teila,Tuli,,1,TeilaTuli,FIG4070
1915,Shingo,Kohara,,1,ShingoKohara,FIG4069
1738,Travis,Johnson,,1,TravisJohnson,FIG4068
259,Jose,Barreto,,1,JoseBarreto,FIG4067
1878,Jong Won,Kim,,1,Jong WonKim,FIG4066
3106,Mark,Robinson,White Rhino,1,MarkRobinsonWhite Rhino,FIG4065
1726,Art,Jimmerson,,1,ArtJimmerson,FIG4064
1679,Tatsuya,Iwasaki,,1,TatsuyaIwasaki,FIG4063
3236,Julian,Sanchez,,1,JulianSanchez,FIG4062
1478,Luke,Hartwig,,1,LukeHartwig,FIG4061
3555,Adam,Steele,,1,AdamSteele,FIG4060
1444,Frank,Hamaker,,1,FrankHamaker,FIG4059
3561,Dmitri,Stepanov,,1,DmitriStepanov,FIG4058
3583,Greg,Stott,Ranger,1,GregStottRanger,FIG4057
1502,Spencer,Hearns,,1,SpencerHearns,FIG4056
3588,Gennaro,Strangis,,1,GennaroStrangis,FIG4055
3598,Kyle,Sturgeon,,1,KyleSturgeon,FIG4054
3457,Matt,Skelton,,1,MattSkelton,FIG4053
3453,Yokthai,Sithoar,,1,YokthaiSithoar,FIG4052
3614,Jason,Suttie,Nobunaga,1,JasonSuttieNobunaga,FIG4051
1529,Joe,Hernandez,,1,JoeHernandez,FIG4050
1608,Saeed,Hosseini,,1,SaeedHosseini,FIG4049
3361,Scott,Shaffer,,1,ScottShaffer,FIG4048
1360,Cesar,Gracie,,1,CesarGracie,FIG4047
125,Lowell,Anderson,,1,LowellAnderson,FIG4046
124,Andy,Anderson,The Hammer,1,AndyAndersonThe Hammer,FIG4045
616,Donnie,Chappell,,1,DonnieChappell,FIG4044
1642,Minoki,Ichihara,,1,MinokiIchihara,FIG4043
1346,Hugo,Govea,,1,HugoGovea,FIG4042
3266,Adriano,Santos,,1,AdrianoSantos,FIG4041
1645,Sergey,Ignatov,,1,SergeyIgnatov,FIG4040
1655,Chris,Inman,,1,ChrisInman,FIG4039
691,Chris,Condo,,1,ChrisCondo,FIG4038
3690,Jason,Thacker,,1,JasonThacker,FIG4037
3824,Yuri,Vaulin,,1,YuriVaulin,FIG4036
596,Jenna,Castillo,,1,JennaCastillo,FIG4035
3721,James,Toney,Lights Out,1,JamesToneyLights Out,FIG4034
2002,Sione,Latu,,1,SioneLatu,FIG4033
2383,Luis,Mendoza,,1,LuisMendoza,FIG4032
2960,CM,Punk,,1,CMPunk,FIG4031
428,Mack,Brewer,,1,MackBrewer,FIG4030
2309,Brooke,Mayo,The Bully,1,BrookeMayoThe Bully,FIG4029
2325,Scott,McDonald,,1,ScottMcDonald,FIG4028
421,Roman,Bravo-Young,,1,RomanBravo-Young,FIG4027
943,Chris,Drumm,,1,ChrisDrumm,FIG4026
2029,Jackie,Lee,,1,JackieLee,FIG4025
